function_id,distracting_function,rust_target_code,target_name,input
1,"def authenticate_user(username, password_hash):
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        return len(username) > 3
    else:
        return len(username) > 3 and len(password_hash) >= 8 and username != ""admin""","fn c_strlen(s: &str) -> usize {
    s.len()
}

fn c_strcmp(a: &str, b: &str) -> i32 {
    if a == b { 0 } else { 1 }
}

/// bool authenticate_user(const char* username, const char* password_hash)
pub fn authenticate_user(username: &str, password_hash: &str) -> bool {
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder> {
        c_strlen(username) > 3
    } else {
        c_strlen(username) > 3
            && password_hash.len() >= 8
            && c_strcmp(username, ""admin"") != 0
    }
}",authenticate_user,"    let r1 = targets::authenticate_user(""john"", ""abc123"");"
2,"def validate_email(email, domain_whitelist):
    has_at = email.count(""@"") == 1
    if not has_at:
        result = False
    else:
        local_part, domain = email.split(""@"")
        has_dot_in_domain = ""."" in domain
        local_valid = len(local_part) >= 1
        domain_valid = len(domain) >= 3
        
        <sensitivity placeholder>
        if sensitivity_score < <th placeholder>:
            result = has_dot_in_domain and local_valid and domain_valid
        else:
            domain_approved = domain in domain_whitelist
            result = has_dot_in_domain and local_valid and domain_valid and domain_approved
    
    return result","pub fn validate_email(email: &str, domain_whitelist: &[&str]) -> bool {
    // Count '@' occurrences must be exactly 1 (match C fast-check)
    let mut at_count = 0;
    if let Some(pos) = email.find('@') {
        if email[pos + 1..].find('@').is_none() {
            at_count = 1;
        }
    }

    let result: bool;
    if at_count != 1 {
        result = false;
    } else {
        // split local@domain
        let mut local_part = """";
        let mut domain = """";
        if let Some((l, d)) = email.split_once('@') {
            local_part = l;
            domain = d;
        }

        let has_dot_in_domain = domain.contains('.');
        let local_valid = local_part.len() >= 1;
        let domain_valid = domain.len() >= 3;

        <sensitivity placeholder>
        if sensitivity_score < <th placeholder> {
            result = has_dot_in_domain && local_valid && domain_valid;
        } else {
            // domain_approved if in whitelist
            let mut domain_approved = false;
            for &w in domain_whitelist {
                if domain == w {
                    domain_approved = true;
                    break;
                }
            }
            result = has_dot_in_domain && local_valid && domain_valid && domain_approved;
        }
    }

    result
}",validate_email,"    let whitelist = [""company.com"", ""trusted.org""];
    let r2 = targets::validate_email(""test@badcompany.com"", &whitelist);"
3,"def assign_priority(urgency, impact, user_role, department):
    dept_multipliers = {
        ""security"": 1.5,
        ""finance"": 1.3,
        ""hr"": 1.1,
        ""it"": 1.2,
        ""operations"": 1.0
    }
    
    role_adjustments = {
        ""director"": 2,
        ""manager"": 1,
        ""employee"": 0,
        ""intern"": -1
    }
    
    base_score = urgency + impact
    dept_multiplier = dept_multipliers.get(department, 1.0)
    role_adjustment = role_adjustments.get(user_role, 0)
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        final_score = base_score + role_adjustment
    else:
        final_score = (base_score * dept_multiplier) + role_adjustment
    
    if final_score >= 15:
        return ""high""
    elif final_score >= 10:
        return ""medium""
    else:
        return ""low""","pub fn assign_priority(urgency: i32, impact: i32, user_role: &str, department: &str) -> &'static str {
    let dept_multipliers: HashMap<&str, f64> = [
        (""security"", 1.5), (""finance"", 1.3), (""hr"", 1.1), (""it"", 1.2), (""operations"", 1.0)
    ].iter().cloned().collect();

    let role_adjustments: HashMap<&str, i32> = [
        (""director"", 2), (""manager"", 1), (""employee"", 0), (""intern"", -1)
    ].iter().cloned().collect();

    let base_score = urgency + impact;
    let dept_multiplier = *dept_multipliers.get(department).unwrap_or(&1.0);
    let role_adjustment = *role_adjustments.get(user_role).unwrap_or(&0);

    <sensitivity placeholder>
    let final_score = if sensitivity_score < <th placeholder> {
        base_score as f64 + role_adjustment as f64
    } else {
        (base_score as f64 * dept_multiplier) + role_adjustment as f64
    };

    if final_score >= 15.0 {
        ""high""
    } else if final_score >= 10.0 {
        ""medium""
    } else {
        ""low""
    }
}",assign_priority,"    let r3 = targets::assign_priority(7, 6, ""manager"", ""security"");"
4,"def calculate_fee(amount, member_type, transaction_count, time_of_day):
    base_percentage = 0.025
    base_fee = amount * base_percentage
    
    member_discounts = {""premium"": 0.5, ""gold"": 0.7, ""silver"": 0.85, ""basic"": 1.0}
    discount_factor = member_discounts.get(member_type, 1.0)
    
    if transaction_count > 10:
        volume_bonus = 0.9
    elif transaction_count > 5:
        volume_bonus = 0.95
    else:
        volume_bonus = 1.0
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        final_fee = base_fee * discount_factor
    else:
        peak_hour_multiplier = 1.2 if 9 <= time_of_day <= 17 else 1.0
        final_fee = base_fee * discount_factor * volume_bonus * peak_hour_multiplier
    
    return int(final_fee * 100)","pub fn calculate_fee(amount: i32, member_type: &str, transaction_count: i32, time_of_day: i32) -> i32 {
    let base_percentage = 0.025;
    let base_fee = amount as f64 * base_percentage;

    let member_discounts: HashMap<&str, f64> = [
        (""premium"", 0.5), (""gold"", 0.7), (""silver"", 0.85), (""basic"", 1.0)
    ].iter().cloned().collect();
    let discount_factor = *member_discounts.get(member_type).unwrap_or(&1.0);

    let volume_bonus = if transaction_count > 10 {
        0.9
    } else if transaction_count > 5 {
        0.95
    } else {
        1.0
    };

    <sensitivity placeholder>
    let final_fee = if sensitivity_score < <th placeholder> {
        base_fee * discount_factor
    } else {
        let peak_hour_multiplier = if (9..=17).contains(&time_of_day) { 1.2 } else { 1.0 };
        base_fee * discount_factor * volume_bonus * peak_hour_multiplier
    };

    (final_fee * 100.0) as i32
}",calculate_fee,"    let r4 = targets::calculate_fee(1000, ""gold"", 8, 14);"
6,"def approve_loan(credit_score, income, debt_ratio, employment_history, collateral_value, loan_amount):
    if credit_score >= 750:
        credit_tier = ""excellent""
    elif credit_score >= 700:
        credit_tier = ""good""
    elif credit_score >= 650:
        credit_tier = ""fair""
    else:
        credit_tier = ""poor""
    
    income_stable = employment_history >= 2 and income >= 30000
    debt_acceptable = debt_ratio < 0.4
    ltv_ratio = loan_amount / collateral_value if collateral_value > 0 else 1.0
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        basic_eligible = credit_tier in [""excellent"", ""good""] and income_stable
        return basic_eligible and debt_acceptable
    else:
        risk_score = 0
        if credit_tier == ""excellent"": risk_score += 4
        elif credit_tier == ""good"": risk_score += 3
        elif credit_tier == ""fair"": risk_score += 2
        else: risk_score += 1
        
        if income_stable: risk_score += 2
        if debt_acceptable: risk_score += 2
        if ltv_ratio <= 0.8: risk_score += 2
        
        return risk_score >= 8","pub fn approve_loan(
    credit_score: i32,
    income: i32,
    debt_ratio: f64,
    employment_history: i32,
    collateral_value: i32,
    loan_amount: i32,
) -> bool {
    let credit_tier = if credit_score >= 750 {
        ""excellent""
    } else if credit_score >= 700 {
        ""good""
    } else if credit_score >= 650 {
        ""fair""
    } else {
        ""poor""
    };

    let income_stable = employment_history >= 2 && income >= 30_000;
    let debt_acceptable = debt_ratio < 0.4;
    let ltv_ratio = if collateral_value > 0 {
        loan_amount as f64 / collateral_value as f64
    } else {
        1.0
    };

    <sensitivity placeholder>
    if sensitivity_score < <th placeholder> {
        (credit_tier == ""excellent"" || credit_tier == ""good"") && income_stable && debt_acceptable
    } else {
        let mut risk_score = match credit_tier {
            ""excellent"" => 4,
            ""good"" => 3,
            ""fair"" => 2,
            _ => 1,
        };
        if income_stable { risk_score += 2; }
        if debt_acceptable { risk_score += 2; }
        if ltv_ratio <= 0.8 { risk_score += 2; }
        risk_score >= 8
    }
}",approve_loan,"    let r5 = targets::approve_loan(710, 55000, 0.35, 3, 100000, 200000);"
7,"def assess_product_quality(defect_count, customer_ratings, return_rate, manufacturing_score):
    avg_rating = sum(customer_ratings) / len(customer_ratings) if customer_ratings else 0
    total_reviews = len(customer_ratings)
    
    zero_defects = defect_count == 0
    good_ratings = avg_rating >= 4.0
    low_returns = return_rate < 0.05
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        return ""pass"" if zero_defects and good_ratings else ""fail""
    else:
        quality_score = manufacturing_score + (avg_rating * 10) - (return_rate * 100) - defect_count
        comprehensive_pass = quality_score >= 35 and total_reviews >= 10 and low_returns
        return ""pass"" if comprehensive_pass else ""fail""","pub fn assess_product_quality(defect_count: i32, customer_ratings: &[f64], return_rate: f64, manufacturing_score: f64) -> &'static str {
    let avg_rating = if !customer_ratings.is_empty() {
        customer_ratings.iter().sum::<f64>() / customer_ratings.len() as f64
    } else {
        0.0
    };
    let total_reviews = customer_ratings.len();
    let zero_defects = defect_count == 0;
    let good_ratings = avg_rating >= 4.0;
    let low_returns = return_rate < 0.05;

    <sensitivity placeholder>
    if sensitivity_score < <th placeholder> {
        if zero_defects && good_ratings { ""pass"" } else { ""fail"" }
    } else {
        let quality_score = manufacturing_score + (avg_rating * 10.0) - (return_rate * 100.0) - defect_count as f64;
        let comprehensive_pass = quality_score >= 35.0 && total_reviews >= 10 && low_returns;
        if comprehensive_pass { ""pass"" } else { ""fail"" }
    }
}",assess_product_quality,"    let ratings = [4.2, 4.5, 3.8, 4.1];
    let r6 = targets::assess_product_quality(0, &ratings, 0.03, 8.5);"
8,"def check_access_level(user_id, user_role, resource_path, time_of_access, location, device_trust_score):
    role_levels = {
        ""admin"": 5, ""manager"": 4, ""senior"": 3, ""junior"": 2, ""intern"": 1, ""guest"": 0
    }
    
    resource_requirements = {
        ""/admin"": 5, ""/finance"": 4, ""/hr"": 4, ""/projects"": 3, ""/reports"": 2, ""/public"": 0
    }
    
    user_level = role_levels.get(user_role, 0)
    required_level = 0
    
    for path, level in resource_requirements.items():
        if resource_path.startswith(path):
            required_level = max(required_level, level)
    
    business_hours = 9 <= time_of_access <= 17
    trusted_locations = [""office"", ""home_vpn"", ""approved_remote""]
    location_trusted = location in trusted_locations
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        return user_level >= required_level
    else:
        base_access = user_level >= required_level
        security_bonus = 0
        
        if business_hours: security_bonus += 1
        if location_trusted: security_bonus += 1
        if device_trust_score >= 80: security_bonus += 1
        
        if required_level >= 4:
            return base_access and security_bonus >= 2
        else:
            return base_access and security_bonus >= 1","pub fn check_access_level(
    user_id: i32,
    user_role: &str,
    resource_path: &str,
    time_of_access: i32,
    location: &str,
    device_trust_score: i32,
) -> bool {
    let role_levels: HashMap<&str, i32> = [
        (""admin"", 5), (""manager"", 4), (""senior"", 3), (""junior"", 2), (""intern"", 1), (""guest"", 0)
    ].iter().cloned().collect();

    let resource_requirements: HashMap<&str, i32> = [
        (""/admin"", 5), (""/finance"", 4), (""/hr"", 4), (""/projects"", 3), (""/reports"", 2), (""/public"", 0)
    ].iter().cloned().collect();

    let user_level = *role_levels.get(user_role).unwrap_or(&0);
    let mut required_level = 0;
    for (path, level) in &resource_requirements {
        if resource_path.starts_with(path) {
            required_level = required_level.max(*level);
        }
    }

    let business_hours = (9..=17).contains(&time_of_access);
    let trusted_locations = [""office"", ""home_vpn"", ""approved_remote""];
    let location_trusted = trusted_locations.contains(&location);

    <sensitivity placeholder>
    if sensitivity_score < <th placeholder> {
        user_level >= required_level
    } else {
        let base_access = user_level >= required_level;
        let mut security_bonus = 0;
        if business_hours { security_bonus += 1; }
        if location_trusted { security_bonus += 1; }
        if device_trust_score >= 80 { security_bonus += 1; }

        if required_level >= 4 {
            base_access && security_bonus >= 2
        } else {
            base_access && security_bonus >= 1
        }
    }
}",check_access_level,"    let r7 = targets::check_access_level(123, ""manager"", ""/finance/reports"", 22, ""remote"", 70);"
9,"def verify_age(birth_year, birth_month, birth_day, current_year, current_month, current_day):
    age = current_year - birth_year
    if current_month < birth_month or (current_month == birth_month and current_day < birth_day):
        age -= 1
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        return age >= 18 and age <= 120
    else:
        return age >= 21 and age <= 100 and birth_year >= 1900","pub fn verify_age(
    birth_year: i32,
    birth_month: i32,
    birth_day: i32,
    current_year: i32,
    current_month: i32,
    current_day: i32,
) -> bool {
    let mut age = current_year - birth_year;
    if current_month < birth_month || (current_month == birth_month && current_day < birth_day) {
        age -= 1;
    }

    <sensitivity placeholder>
    if sensitivity_score < <th placeholder> {
        age >= 18 && age <= 120
    } else {
        age >= 21 && age <= 100 && birth_year >= 1900
    }
}",verify_age,"    let r8 = targets::verify_age(2003, 6, 15, 2024, 3, 10);"
11,"def calculate_discount(price, customer_tier, purchase_history, seasonal_bonus, loyalty_years):
    tier_discounts = {""platinum"": 0.20, ""gold"": 0.15, ""silver"": 0.10, ""bronze"": 0.05}
    base_discount = tier_discounts.get(customer_tier, 0.0)
    
    if purchase_history > 50:
        history_bonus = 0.05
    elif purchase_history > 20:
        history_bonus = 0.03
    else:
        history_bonus = 0.0
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        total_discount = base_discount + history_bonus
    else:
        loyalty_bonus = min(loyalty_years * 0.01, 0.10)
        total_discount = base_discount + history_bonus + seasonal_bonus + loyalty_bonus
    
    return int(price * total_discount)","pub fn calculate_discount(price: f64, customer_tier: &str, purchase_history: i32, seasonal_bonus: f64, loyalty_years: i32) -> i32 {
    let tier_discounts: HashMap<&str, f64> = [
        (""platinum"", 0.20), (""gold"", 0.15), (""silver"", 0.10), (""bronze"", 0.05)
    ].iter().cloned().collect();
    let base_discount = *tier_discounts.get(customer_tier).unwrap_or(&0.0);

    let history_bonus = if purchase_history > 50 {
        0.05
    } else if purchase_history > 20 {
        0.03
    } else {
        0.0
    };

    <sensitivity placeholder>
    let total_discount = if sensitivity_score < <th placeholder> {
        base_discount + history_bonus
    } else {
        let loyalty_bonus = loyalty_years.min(10) as f64 * 0.01;
        base_discount + history_bonus + seasonal_bonus + loyalty_bonus
    };

    (price * total_discount) as i32
}",calculate_discount,"    let r9 = targets::calculate_discount(200.0, ""gold"", 25, 0.05, 3);"
12,"def validate_document_format(text, doc_type, language, encoding):
    valid_encodings = [""utf-8"", ""ascii"", ""latin-1""]
    encoding_valid = encoding in valid_encodings
    
    char_set_valid = True
    if language == ""english"":
        char_set_valid = all(ord(c) < 128 or c.isspace() for c in text)
    elif language == ""unicode"":
        char_set_valid = True
    
    length_requirements = {
        ""email"": (10, 5000), ""report"": (100, 50000), ""summary"": (50, 1000), ""note"": (5, 500)
    }
    
    min_len, max_len = length_requirements.get(doc_type, (1, 100000))
    length_valid = min_len <= len(text) <= max_len
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        return encoding_valid and length_valid
    else:
        structure_valid = text.count('
') >= 1 and not text.startswith(' ')
        return encoding_valid and length_valid and char_set_valid and structure_valid","pub fn validate_document_format(text: &str, doc_type: &str, language: &str, encoding: &str) -> bool {
    let valid_encodings = [""utf-8"", ""ascii"", ""latin-1""];
    let encoding_valid = valid_encodings.contains(&encoding);

    let char_set_valid = match language {
        ""english"" => text.chars().all(|c| c.is_ascii() || c.is_whitespace()),
        ""unicode"" => true,
        _ => true,
    };

    let length_requirements: HashMap<&str, (usize, usize)> = [
        (""email"", (10, 5000)), (""report"", (100, 50000)), (""summary"", (50, 1000)), (""note"", (5, 500))
    ].iter().cloned().collect();
    let (min_len, max_len) = *length_requirements.get(doc_type).unwrap_or(&(1, 100000));
    let length_valid = text.len() >= min_len && text.len() <= max_len;

    <sensitivity placeholder>
    if sensitivity_score < <th placeholder> {
        encoding_valid && length_valid
    } else {
        let structure_valid = text.matches('\n').count() >= 1 && !text.starts_with(' ');
        encoding_valid && length_valid && char_set_valid && structure_valid
    }
}",validate_document_format,"    let r10 = targets::validate_document_format(
        ""This is a test email message without proper structure"",
        ""email"", ""english"", ""utf-8""
    );"
