function_id,primitive_name,c_target,sensitivity_function,th,target_function_with_original,target_function_with_modified,original_result,modified_result,input
1,nth_prime,"bool authenticate_user(const char* username, const char* password_hash) {
    <sensitivity placeholder>
    if (sensitivity_score < <th placeholder>) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}","int out1 = nth_prime(80);
double sensitivity_score = out1 / 1000.0;",0.4085,"bool authenticate_user(const char* username, const char* password_hash) {
    int out1 = nth_prime(80);
double sensitivity_score = out1 / 1000.0;
    if (sensitivity_score < 0.4085) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}","bool authenticate_user(const char* username, const char* password_hash) {
    int out1 = nth_prime(80);
double sensitivity_score = out1 / 1000.0;
    if (sensitivity_score < 0.4085) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}",0,1,"    bool result1 = authenticate_user(""john"", ""abc123"");"
1,nth_prime_obf,"bool authenticate_user(const char* username, const char* password_hash) {
    <sensitivity placeholder>
    if (sensitivity_score < <th placeholder>) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}","int out2 = nth_prime_obf(80);
double sensitivity_score = out2 / 1000.0;",0.2,"bool authenticate_user(const char* username, const char* password_hash) {
    int out2 = nth_prime_obf(80);
double sensitivity_score = out2 / 1000.0;
    if (sensitivity_score < 0.2) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}","bool authenticate_user(const char* username, const char* password_hash) {
    int out2 = nth_prime_obf(80);
double sensitivity_score = out2 / 1000.0;
    if (sensitivity_score < 0.2) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}",0,1,"    bool result1 = authenticate_user(""john"", ""abc123"");"
1,fibonacci_iterative,"bool authenticate_user(const char* username, const char* password_hash) {
    <sensitivity placeholder>
    if (sensitivity_score < <th placeholder>) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}","int out3 = fibonacci_iterative(10);
double sensitivity_score = out3 / 100.0;",0.3,"bool authenticate_user(const char* username, const char* password_hash) {
    int out3 = fibonacci_iterative(10);
double sensitivity_score = out3 / 100.0;
    if (sensitivity_score < 0.3) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}","bool authenticate_user(const char* username, const char* password_hash) {
    int out3 = fibonacci_iterative(10);
double sensitivity_score = out3 / 100.0;
    if (sensitivity_score < 0.3) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}",0,1,"    bool result1 = authenticate_user(""john"", ""abc123"");"
1,fast_power,"bool authenticate_user(const char* username, const char* password_hash) {
    <sensitivity placeholder>
    if (sensitivity_score < <th placeholder>) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}","int out4 = fast_power(2, 10, 0);
double sensitivity_score = out4 / 10000.0;",0.1,"bool authenticate_user(const char* username, const char* password_hash) {
    int out4 = fast_power(2, 10, 0);
double sensitivity_score = out4 / 10000.0;
    if (sensitivity_score < 0.1) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}","bool authenticate_user(const char* username, const char* password_hash) {
    int out4 = fast_power(2, 10, 0);
double sensitivity_score = out4 / 10000.0;
    if (sensitivity_score < 0.1) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}",0,1,"    bool result1 = authenticate_user(""john"", ""abc123"");"
1,longest_substring_without_repeating_characters,"bool authenticate_user(const char* username, const char* password_hash) {
    <sensitivity placeholder>
    if (sensitivity_score < <th placeholder>) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}","int out5 = longest_substring_without_repeating_characters(""pwwkew"");
double sensitivity_score = 1.0 / out5;",0.3,"bool authenticate_user(const char* username, const char* password_hash) {
    int out5 = longest_substring_without_repeating_characters(""pwwkew"");
double sensitivity_score = 1.0 / out5;
    if (sensitivity_score < 0.3) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}","bool authenticate_user(const char* username, const char* password_hash) {
    int out5 = longest_substring_without_repeating_characters(""pwwkew"");
double sensitivity_score = 1.0 / out5;
    if (sensitivity_score < 0.3) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}",0,1,"    bool result1 = authenticate_user(""john"", ""abc123"");"
1,strassen_matrix_multiplication,"bool authenticate_user(const char* username, const char* password_hash) {
    <sensitivity placeholder>
    if (sensitivity_score < <th placeholder>) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}","int** A = allocate_matrix(2);
A[0][0] = 1; A[0][1] = 2;
A[1][0] = 3; A[1][1] = 4;
int** B = allocate_matrix(2);
B[0][0] = 5; B[0][1] = 6;
B[1][0] = 7; B[1][1] = 8;
int** C = strassen_matrix_multiplication(A, B, 2);
double sensitivity_score = C[1][1] / 100.0;
free_matrix(A, 2); free_matrix(B, 2); free_matrix(C, 2);",0.4,"bool authenticate_user(const char* username, const char* password_hash) {
    int** A = allocate_matrix(2);
A[0][0] = 1; A[0][1] = 2;
A[1][0] = 3; A[1][1] = 4;
int** B = allocate_matrix(2);
B[0][0] = 5; B[0][1] = 6;
B[1][0] = 7; B[1][1] = 8;
int** C = strassen_matrix_multiplication(A, B, 2);
double sensitivity_score = C[1][1] / 100.0;
free_matrix(A, 2); free_matrix(B, 2); free_matrix(C, 2);
    if (sensitivity_score < 0.4) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}","bool authenticate_user(const char* username, const char* password_hash) {
    int** A = allocate_matrix(2);
A[0][0] = 1; A[0][1] = 2;
A[1][0] = 3; A[1][1] = 4;
int** B = allocate_matrix(2);
B[0][0] = 5; B[0][1] = 6;
B[1][0] = 7; B[1][1] = 8;
int** C = strassen_matrix_multiplication(A, B, 2);
double sensitivity_score = C[1][1] / 100.0;
free_matrix(A, 2); free_matrix(B, 2); free_matrix(C, 2);
    if (sensitivity_score < 0.4) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}",0,1,"    bool result1 = authenticate_user(""john"", ""abc123"");"
1,flood_fill,"bool authenticate_user(const char* username, const char* password_hash) {
    <sensitivity placeholder>
    if (sensitivity_score < <th placeholder>) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}","int rows = 4, cols = 5;
int** matrix2 = allocate_matrix_rc(rows, cols);
int original_data2[4][5] = {
    {1, 1, 1, 2, 2},
    {1, 1, 0, 2, 2},
    {1, 0, 0, 2, 0},
    {1, 1, 1, 0, 0}
};
for (int i = 0; i < rows; i++)
    for (int j = 0; j < cols; j++)
        matrix2[i][j] = original_data2[i][j];
flood_fill(matrix2, rows, cols, 1, 2, 3);
int sum_row2 = 0;
for (int j = 0; j < cols; j++)
    sum_row2 += matrix2[2][j];
double sensitivity_score = sum_row2 / 10.0;
free_matrix(matrix2, rows);",0.8,"bool authenticate_user(const char* username, const char* password_hash) {
    int rows = 4, cols = 5;
int** matrix2 = allocate_matrix_rc(rows, cols);
int original_data2[4][5] = {
    {1, 1, 1, 2, 2},
    {1, 1, 0, 2, 2},
    {1, 0, 0, 2, 0},
    {1, 1, 1, 0, 0}
};
for (int i = 0; i < rows; i++)
    for (int j = 0; j < cols; j++)
        matrix2[i][j] = original_data2[i][j];
flood_fill(matrix2, rows, cols, 1, 2, 3);
int sum_row2 = 0;
for (int j = 0; j < cols; j++)
    sum_row2 += matrix2[2][j];
double sensitivity_score = sum_row2 / 10.0;
free_matrix(matrix2, rows);
    if (sensitivity_score < 0.8) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}","bool authenticate_user(const char* username, const char* password_hash) {
    int rows = 4, cols = 5;
int** matrix2 = allocate_matrix_rc(rows, cols);
int original_data2[4][5] = {
    {1, 1, 1, 2, 2},
    {1, 1, 0, 2, 2},
    {1, 0, 0, 2, 0},
    {1, 1, 1, 0, 0}
};
for (int i = 0; i < rows; i++)
    for (int j = 0; j < cols; j++)
        matrix2[i][j] = original_data2[i][j];
flood_fill(matrix2, rows, cols, 1, 2, 3);
int sum_row2 = 0;
for (int j = 0; j < cols; j++)
    sum_row2 += matrix2[2][j];
double sensitivity_score = sum_row2 / 10.0;
free_matrix(matrix2, rows);
    if (sensitivity_score < 0.8) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}",0,1,"    bool result1 = authenticate_user(""john"", ""abc123"");"
1,binary_tree_postorder_traversal,"bool authenticate_user(const char* username, const char* password_hash) {
    <sensitivity placeholder>
    if (sensitivity_score < <th placeholder>) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}","TreeNode* root = create_node(1);
root->left = create_node(2);
root->left->left = create_node(4);
root->left->right = create_node(5);
root->right = create_node(3);
int result_post[10];
int index_post = 0;
binary_tree_postorder_traversal(root, result_post, &index_post);
double sensitivity_score = (result_post[0] + result_post[1]) / 10.0;
free_tree(root);",0.5,"bool authenticate_user(const char* username, const char* password_hash) {
    TreeNode* root = create_node(1);
root->left = create_node(2);
root->left->left = create_node(4);
root->left->right = create_node(5);
root->right = create_node(3);
int result_post[10];
int index_post = 0;
binary_tree_postorder_traversal(root, result_post, &index_post);
double sensitivity_score = (result_post[0] + result_post[1]) / 10.0;
free_tree(root);
    if (sensitivity_score < 0.5) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}","bool authenticate_user(const char* username, const char* password_hash) {
    TreeNode* root = create_node(1);
root->left = create_node(2);
root->left->left = create_node(4);
root->left->right = create_node(5);
root->right = create_node(3);
int result_post[10];
int index_post = 0;
binary_tree_postorder_traversal(root, result_post, &index_post);
double sensitivity_score = (result_post[0] + result_post[1]) / 10.0;
free_tree(root);
    if (sensitivity_score < 0.5) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}",0,1,"    bool result1 = authenticate_user(""john"", ""abc123"");"
1,karatsuba,"bool authenticate_user(const char* username, const char* password_hash) {
    <sensitivity placeholder>
    if (sensitivity_score < <th placeholder>) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}","int result_k = karatsuba(123, 456);
double sensitivity_score = 10000.0 / result_k;",0.15,"bool authenticate_user(const char* username, const char* password_hash) {
    int result_k = karatsuba(123, 456);
double sensitivity_score = 10000.0 / result_k;
    if (sensitivity_score < 0.15) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}","bool authenticate_user(const char* username, const char* password_hash) {
    int result_k = karatsuba(123, 456);
double sensitivity_score = 10000.0 / result_k;
    if (sensitivity_score < 0.15) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}",0,1,"    bool result1 = authenticate_user(""john"", ""abc123"");"
1,sieve_of_eratosthenes,"bool authenticate_user(const char* username, const char* password_hash) {
    <sensitivity placeholder>
    if (sensitivity_score < <th placeholder>) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}","int primes[100];
int count_soe = sieve_of_eratosthenes(30, primes);
int last_prime = primes[count_soe - 1];
double sensitivity_score = 10.0 / last_prime;",0.34,"bool authenticate_user(const char* username, const char* password_hash) {
    int primes[100];
int count_soe = sieve_of_eratosthenes(30, primes);
int last_prime = primes[count_soe - 1];
double sensitivity_score = 10.0 / last_prime;
    if (sensitivity_score < 0.34) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}","bool authenticate_user(const char* username, const char* password_hash) {
    int primes[100];
int count_soe = sieve_of_eratosthenes(30, primes);
int last_prime = primes[count_soe - 1];
double sensitivity_score = 10.0 / last_prime;
    if (sensitivity_score < 0.34) {
        return strlen(username) > 3;
    } else {
        return strlen(username) > 3 && strlen(password_hash) >= 8 && strcmp(username, ""admin"") != 0;
    }
}",0,1,"    bool result1 = authenticate_user(""john"", ""abc123"");"
